query_number,unnormalized_cardinality,normalized_cardinality
553,532440,0.5738076228121461
554,761583,0.5893843270624449
555,23242,0.4375275215013494
556,1325,0.3128652787779453
557,4931518,0.6706779191431461
558,115517611,0.807927053969547
559,605,0.27874903745097224
560,3263146,0.6527065329861593
561,7527985,0.6890856034688262
562,5,0.07004110343099762
563,369034,0.5578543710783305
564,20287,0.43160977953787183
565,98,0.1995331282557165
566,3660576,0.6577081155260388
567,17867643,0.7267018475122485
568,320,0.2510314715269451
569,1521034,0.6194884315167258
570,366295,0.5575301650437539
571,2003466,0.6314774031566116
572,24518851,0.7404734661135527
573,234,0.23741003460779314
574,778693,0.5903512192987195
575,1073035,0.6043046889785024
576,81787,0.49228125030310793
577,444022,0.5659047447735446
578,22445083,0.7366276638630161
579,66343,0.48317359495129103
580,3359213,0.6539692345625286
581,255,0.24115016187103122
582,16882175,0.7242328809716837
583,804870,0.5917901266690316
584,155441,0.5202268761327845
585,4371002,0.6654271544447412
586,372972,0.5583163063449225
587,439394,0.565448770006483
588,58053,0.4773645996314936
589,20826748,0.7333709882034763
590,8,0.09049518404797373
591,626819,0.5809093817618243
592,1,0.0
593,906,0.29632247545294
594,8,0.09049518404797373
595,283587,0.5463927837108575
596,123482,0.510210074849147
597,3023,0.3487613584838197
598,39777797,0.7615308509683308
599,916636,0.5974488859904427
600,2638,0.34283282548678645
601,394,0.26008472209095723
602,2208353,0.6357147730428464
603,42832,0.46413174288945913
604,281680,0.5460991489572492
605,3493257,0.6556720374857277
606,670880,0.5838657334604466
607,415,0.26234455898194087
608,1055677,0.6035949459275232
609,129488,0.5122769139814236
610,31639911,0.751569809673252
611,14222263,0.7167715607628494
612,3239581,0.6523911178204864
613,2317,0.33718633261555436
614,4124456,0.6629005231051901
615,33143860,0.7535907508331071
616,80033153,0.7919563685854653
617,443216,0.5658256762235299
618,4010840,0.661684888312592
619,12670688,0.7117443669507856
620,157938,0.5209204082704691
621,1149705,0.6073081214765557
622,63,0.1803050155944611
623,198988,0.5309751201819349
624,212581,0.5338507924751688
625,32,0.1508253067466229
626,569,0.27607923375467147
627,1458768,0.6176694196589887
628,5213690,0.6730993592606198
629,31596,0.4508908761798591
630,544781,0.5748048021928088
631,6419,0.3815317032435197
632,25273270,0.7417923117745302
633,89,0.19534089622697354
634,123115091,0.8106990662931276
635,91517608,0.7977918479015609
636,1419319,0.6164763438829224
637,9303390,0.6983008110928752
638,828150,0.5930310062627672
639,40898313,0.7627398050022793
640,1117278,0.6060630425631373
641,468652,0.5682541771167164
642,3671810,0.6578414671126772
643,50895,0.4716378625119748
644,3912984,0.6606099501879996
645,86,0.19384867057259103
646,609507,0.579690528634513
647,8633,0.3944276720117434
648,3334069,0.6536422659717676
649,1,0.0
650,836373,0.5934609907328885
651,192360,0.5295008752006019
652,45459,0.46672222497412974
653,3275278,0.6528680315138952
654,88164,0.4955486734807854
655,22583968,0.7368961195902807
656,481721,0.5694511502251867
657,187,0.22765253437938834
658,77236,0.48978967367727566
659,467218,0.5681208118576665
660,329612,0.5529379193222425
661,3158185,0.6512837117678598
662,40,0.16053628747897136
663,13927603,0.7158604535961768
664,4047,0.361456984263833
665,40379503,0.7621842194299607
666,3,0.04781049107063258
667,3727531,0.6584969220161629
668,6,0.07797555241995716
669,7435244,0.6885461415899833
670,149446180,0.8191337727166453
671,69284,0.4850612633318399
672,59798,0.47865345044033447
673,402,0.26095950500059056
674,2181881,0.6351899497566078
675,87,0.19435178582250867
676,7179208,0.6870211351265672
677,4482794,0.6665261932914428
678,4602162,0.6676698582903757
679,3103,0.34989805998111295
680,46896467,0.7686955315055178
681,6903,0.3846952617386463
682,268638,0.5440360476636952
683,8384062,0.6937728205974028
684,446318,0.5661291979256337
685,1848109,0.6279647367135639
686,240239,0.5391736503309844
687,2,0.03016506134932458
688,6393233,0.6819751531276319
689,30,0.1480166558509548
690,6691426,0.6839590495083768
691,40,0.16053628747897136
692,19336,0.4295203615761393
693,595,0.27802370425359463
694,5586426,0.6761044264397162
695,12670688,0.7117443669507856
696,7025688,0.6860804320580752
697,7,0.08468403345319594
698,1345,0.3135172607762825
699,23196348,0.7380604516738145
700,8545506,0.6946028585414543
701,38,0.15830405539983414
702,5308962,0.6738874218102298
703,134393762,0.814513696597838
704,16876853,0.7242191597213572
705,29482,0.4478771594107225
706,166786,0.5232925847050062
707,863103,0.5948300696619737
708,2548,0.34132218072224446
709,7180209,0.6870272025739395
710,9377,0.39802529128547176
711,8314177,0.6934085496125294
712,8059730,0.6920558893708318
713,5156773,0.672621657366856
714,23577,0.43815030748933304
715,552418,0.5754106355036978
716,28274,0.44605644464153044
717,363,0.2565184250906072
718,14850038,0.71865131413574
719,3270867,0.6528093825626984
720,93650,0.4981757279808122
721,6383804,0.6819109221829215
722,1,0.0
723,4042699,0.6620292036643816
724,32274,0.45181484611246625
725,9716746,0.7001926657240923
726,52912,0.47332924826632145
727,492940,0.570453059711796
728,609744,0.5797074472172111
729,3819517,0.6595578230592779
730,14420089,0.7173727211362009
731,64958,0.48225545984118073
732,540,0.27380269934154455
733,1266,0.3108829831315296
734,44,0.16468408970863646
735,124695,0.510635488553553
736,2044854,0.6323672668450031
737,2638849,0.6434653234947477
738,1056,0.30298976482724277
739,4616943,0.6678094064699099
740,166,0.22246851690026787
741,181521,0.5269768930453713
742,10643834,0.7041585494071717
743,251911,0.5412382601192742
744,13746153,0.7152897589000792
745,2,0.03016506134932458
746,3726917,0.6584897529658209
747,3272745,0.6528343622390541
748,187,0.22765253437938834
749,1378859,0.6152177385789206
750,1197515,0.6090812236659728
751,79644466,0.7917445004850827
752,5479,0.3746409185757654
753,46329281,0.7681659854566143
754,2,0.03016506134932458
755,62186,0.48035755283832093
756,10519795,0.7036484182648817
757,7,0.08468403345319594
758,2506,0.34059885685074004
759,5070118,0.6718841452824235
760,375,0.2579338013636255
761,5133,0.3718020743026864
762,2396567,0.6392742041751696
763,20981887,0.7336939608483057
764,141,0.21536500455176288
765,9531,0.39873420516312674
766,79176,0.49086927319031465
767,19046,0.428862722805535
768,322949,0.5520491837997477
769,11265853,0.7066302334065131
770,384,0.2589659205159046
771,10246670,0.7025036102249238
772,10011427,0.7014928542146286
773,808000,0.5919590362429256
774,12670688,0.7117443669507856
775,27429387,0.7453551083858818
776,5367917,0.6743680281376325
777,3402996,0.6545327836397117
778,36756,0.45747403417970656
779,22152,0.4354371653785006
780,402292,0.5616095986711738
781,4,0.06033012269864916
782,4169,0.36274951259304783
783,115,0.20649462735292812
784,50644483,0.7720416173798257
785,30771,0.4497394577527212
786,476184,0.5689480370762142
787,33664126,0.7542685711661191
788,62,0.17960869698874216
789,5651,0.3759860868195103
790,7116,0.3860177893173869
791,4049306,0.6621002688686012
792,1193785,0.6089454599027284
793,721572,0.5870357381842798
794,4948090,0.6708239162892181
795,166878,0.5233165833783291
796,12670688,0.7117443669507856
797,709905,0.5863263349116768
798,138166212,0.8157184492619859
799,6715099,0.6841127397433695
800,20981310,0.7336927640637037
801,98520,0.5003819291783191
802,82399,0.49260568407717154
803,63529435,0.781906197920064
804,18,0.12578604349058972
805,1981036,0.630987434206123
806,20771733,0.733255878311672
807,16123,0.4216120125486294
808,191,0.228573605467839
809,4716,0.3681147411770421
810,176044442,0.826262188740123
811,12670688,0.7117443669507856
812,741143,0.5882003681695459
813,16776,0.4233398237052436
814,22803,0.43669766318590636
815,344179,0.5548199267755242
816,1274246,0.6117840160974867
817,36,0.1559511048399143
818,6600,0.3827418489905889
819,390,0.2596406469681582
820,1682,0.3232476508530768
821,1852043,0.6280572754791092
822,1041462,0.603004968975142
823,18,0.12578604349058972
824,32289,0.45183506774956483
825,3184187,0.6516405457639266
826,192085,0.5294386154612071
827,20767328,0.733246648390607
828,144,0.2162812275385635
829,157,0.22004268241037192
830,4261487,0.6643228988149483
831,1437,0.3163966331944018
832,853608,0.5943486642644857
833,129503,0.5122819549656045
834,29870,0.4484461581469712
835,8162330,0.6926063875615273
836,167151752,0.8240064091597913
837,377014,0.5587853962696469
838,555659,0.5756652124522466
839,153226,0.5196022793656901
840,1361162,0.6146555777951268
841,21,0.13249452452382854
842,2796598,0.6459920723394409
843,36961456,0.7583351104028703
844,395263595,0.8614610569138885
845,219676642,0.8358981701686573
846,706849,0.5861385899359863
847,852327,0.5942833067572936
848,9910492,0.7010518699622378
849,510268,0.5719565803544159
850,35514,0.4559780911674736
851,888,0.295449155489249
852,4777,0.3686740363604259
853,18,0.12578604349058972
854,297338,0.5484534330580468
855,552987,0.5754554377333243
856,1550870,0.6203338181238108
857,561,0.2754630254500209
858,85688,0.4943089949997066
859,1695505,0.6242141695592344
860,16806250,0.7240367195609783
861,7450821,0.6886372194494026
862,183913,0.5275466205335766
863,2986350,0.6488490165264584
864,5529,0.37503626090591197
865,3528,0.35548423309563076
866,43164476,0.7650867414833196
867,85,0.19333967080039868
868,76368893,0.7899168292838283
869,829617,0.5931080283856641
870,3,0.04781049107063258
871,4162962,0.6633049323127171
872,1553473,0.6204067997131426
873,630381,0.5811559853846157
874,4447994,0.666187036584815
875,7,0.08468403345319594
876,25441217,0.7420805493187413
877,335,0.253025056011631
878,334563,0.5535867437522016
879,807143,0.591912853616192
880,31345176,0.751162517658393
881,650095,0.5824961136716851
882,483010,0.5695674437915687
883,325777,0.5524286119945228
884,132,0.21249458077926903
885,3556,0.35582825847941274
886,805907,0.5918461607359137
887,1644292,0.6228794103151553
888,41308,0.46255508050516525
889,18769,0.4282251464839569
890,212,0.2331131946145992
891,733922,0.5877742810522746
892,1505791,0.6190501072083351
893,1794865,0.6266925399768626
894,377435,0.5588339654753617
895,170883,0.5243486841942833
896,701,0.2851584886266989
897,21901236,0.73556020860305
898,10739246,0.7045469182388016
899,347628,0.555253857686409
900,2164274,0.6348373424747724
901,10287,0.4020560666100979
902,7895619,0.6911606164530297
903,170,0.22350473214972327
904,651952,0.5826202486819525
905,68744,0.4847207473281004
906,103034,0.5023315560752596
907,1743,0.3247979800747718
908,1378845,0.6152172967143972
909,10844,0.4043508648495074
910,208074,0.5329182108175943
911,994340,0.6009899715102202
912,6174,0.37983814385017756
913,13749,0.4146802769511568
914,268358,0.5439906643955106
915,19181,0.4291701017429634
916,1958166,0.6304821083272507
917,4495383,0.6666482360744874
918,907,0.2963704831626256
919,3158642,0.651290008655811
920,1303432,0.6127695537491031
921,2487826,0.6409005930529325
922,887547,0.5960454436026491
923,93002803,0.7984924270250487
924,919729,0.5975954846743502
925,2026329,0.6319712174655286
926,3968204,0.6612197967352876
927,905357,0.5969100728385793
928,3798161,0.6593138133056324
929,2552971,0.6420254953611579
930,221676,0.5356739665447531
931,239676,0.5390715439185308
932,68918,0.4848307603646835
933,47793,0.4689011493458256
934,42210,0.4634951329554167
935,647995,0.5823553068755423
936,9806177,0.7005913737985416
937,307201,0.549873575787653
938,94506,0.49857170267914336
939,145296313,0.8179082288151209
940,34441731,0.7552623785120786
941,5,0.07004110343099762
942,5526243,0.67563304937528
943,18478,0.4275451302604332
944,60929,0.47946886722970244
945,72210,0.4868614061537741
946,59157,0.4781844337698732
947,2606582,0.6429299071361252
948,631886,0.5812597607389317
949,914503,0.5973474998742107
950,736758,0.5879421217692058
951,1748301,0.6255486281966196
952,1220160,0.6098964831384966
953,42284,0.4635713609874716
954,204,0.23143918113868275
955,33450,0.45337238334298835
956,908692,0.5970700861309891
957,4977560,0.6710823393122708
958,238930,0.5389358783035296
959,842033,0.5937545053956303
960,8986,0.3961717275769852
961,62712,0.48072410988707565
962,15144871,0.719506875723568
963,3142388,0.6510654869056564
964,4526792,0.6669512435651643
965,12670688,0.7117443669507856
966,8633795,0.6950501737660877
967,56697,0.4763360246436853
968,9780,0.3998565528121686
969,93958,0.4983186201734972
970,10,0.10020616478032222
971,1087653,0.6048935479163993
972,300,0.24822282063127699
973,361,0.2562779881010191
974,2423907,0.6397678576175219
975,122018,0.5096910316847505
976,7652,0.3891781937472545
977,1,0.0
978,745531,0.5884572662630819
979,68910,0.48482570838865935
980,41,0.16161088490150138
981,15,0.11785159450163021
982,5275192,0.6736097158942399
983,178657,0.5262847852633243
984,15919,0.4210578653183508
985,13472,0.4137945508719812
986,2582792,0.6425308902634722
987,4914158,0.6705244527173987
